item_id,item,label
'575735721744449536',cyclone pam hits new zealand dominion post httpAddress httpAddress httpAddress,Other Useful Information
'575736033058406400',#cylonepam devastates #vanuatu regional disaster #insurance scheme can help fund gvt rebuilding efforts httpAddress #wcdrr,Infrastructure and utilities
'575736037986578433',rt usrId emergency response teams from australia are on their way to vanuatu where dozens are feared httpAddress httpAddress #tc,Affected individuals
'575736076087644160',vanuatu #rt cyclone pam lashes vanuatu with category D winds the weather channel the weather channel httpAddress,Other Useful Information
'575736292618563584',cyclone pam solutions to the human cost of climatechange httpAddress,Other Useful Information
'575736345332600832',usrId he he how s it going pam ?,Not related or irrelevant
'575736452413136897',rt usrId help victims of #cyclonepam in #vanuatu now httpAddress,Donations and volunteering
'575736502006603776',thousands await aid in vanuatu as death toll increases fox news httpAddress,Affected individuals
'575736505798361088',#death toll varies as officials struggle to assess cyclone pam s damage fox news httpAddress,Affected individuals
'575736544465580033',complete devastation after cyclone hits island nation of vanuatu httpAddress,Infrastructure and utilities
'575736623708532736',devastated vanuatu starts to get aid httpAddress,Donations and volunteering
'575736634190270465',rt usrId at 12 00pm local time severe tropical cyclone pam was located about DD km south of tanna and DD km httpAddress httpAddress,Other Useful Information
'575736643191246848',sam smith lay me down red nose day 2015 ft . httpAddress gt ; gt ; httpAddress timeline #vanuatu # #xfactornz # httpAddress,Not related or irrelevant
'575736693820514304',httpAddress tracking link for cyclone pan usrId,Other Useful Information
'575736745372811265',rt usrId sending off an adventurer today ! usrId enjoy your vacation in #china before your #reliefwork in #vanuatu ! #service ht,Not related or irrelevant
'575736980966785024',rt usrId day D in #vanuatu protecting animals after #tcpam our team feeds the pelam family s dogs snoopy and blackie httpAddress,Other Useful Information
'575737015599259648',rt usrId httpAddress tropical cyclone pam vanuatu aid workers call for patience amid massive .. #vanuatu DD,Donations and volunteering
'575737024310697984',vanuatu begins relief efforts after massive cyclone hits struggles to assess damage httpAddress,Other Useful Information
'575737043071930368',united nations fears the worst after typhoon batters vanuatu httpAddress httpAddress,Other Useful Information
'575737048994217984',cyclone sets country back years jacobeth nilah wails in pain in the storm battered httpAddress httpAddress,Other Useful Information
