item_id,item,label
'575735721744449536',cyclone pam hits new zealand dominion post httpAddress httpAddress httpAddress,Other Useful Information
'575736033058406400',#cylonepam devastates #vanuatu regional disaster #insurance scheme can help fund gvt rebuilding efforts httpAddress #wcdrr,Infrastructure and utilities
'575736037986578433',rt usrId emergency response teams from australia are on their way to vanuatu where dozens are feared httpAddress httpAddress #tc,Affected individuals
'575736076087644160',vanuatu #rt cyclone pam lashes vanuatu with category D winds the weather channel the weather channel httpAddress,Other Useful Information
'575736131817369601',aid agencies vanuatu conditions more challenging than philippines typhoon httpAddress,Other Useful Information
'575736147046834176',rt usrId D year old michael in his village now httpAddress village chief tells me desperately need httpAddress #vanuatu httpAddress,Infrastructure and utilities
'575736273350098944',rt usrId usrId usrId usrId with you httpAddress i m sure he d be httpAddress throw pam in the mix too winks,Not related or irrelevant
'575736292618563584',cyclone pam solutions to the human cost of climatechange httpAddress,Other Useful Information
'575736345332600832',usrId he he how s it going pam ?,Not related or irrelevant
'575736452413136897',rt usrId help victims of #cyclonepam in #vanuatu now httpAddress,Donations and volunteering
'575736502006603776',thousands await aid in vanuatu as death toll increases fox news httpAddress,Affected individuals
'575736505798361088',#death toll varies as officials struggle to assess cyclone pam s damage fox news httpAddress,Affected individuals
'575736544465580033',complete devastation after cyclone hits island nation of vanuatu httpAddress,Infrastructure and utilities
'575736623708532736',devastated vanuatu starts to get aid httpAddress,Donations and volunteering
'575736634190270465',rt usrId at 12 00pm local time severe tropical cyclone pam was located about DD km south of tanna and DD km httpAddress httpAddress,Other Useful Information
'575736643191246848',sam smith lay me down red nose day 2015 ft . httpAddress gt ; gt ; httpAddress timeline #vanuatu # #xfactornz # httpAddress,Not related or irrelevant
'575736693820514304',httpAddress tracking link for cyclone pan usrId,Other Useful Information
'575736712892145665',cyclone pam untangling the complex science on tropical storms and climate change carbon brief httpAddress,Other Useful Information
'575736745372811265',rt usrId sending off an adventurer today ! usrId enjoy your vacation in #china before your #reliefwork in #vanuatu ! #service ht,Not related or irrelevant
'575736838293426176',thank pam for the favored httpAddress,Not related or irrelevant
